"sku","name","nb_produits_commandes","nb_produits_factures","nb_produits_rembourses","nb_produits_annules","nb_produits_envoyes","num_commande","date"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032418","2018-07-13 15:12:36"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032469","2018-07-15 12:30:32"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032491","2018-07-16 10:54:31"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032517","2018-07-16 18:43:10"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000032537","2018-07-17 06:59:44"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032538","2018-07-17 07:03:25"
"1464430","SMOOZ-Boite a croquette chat rouge 2,7l l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032558","2018-07-17 12:13:08"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032689","2018-07-20 20:39:57"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032705","2018-07-21 10:41:02"
"1398238","Chaise Montebello l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000032722","2018-07-21 16:30:01"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032733","2018-07-22 07:24:05"
"1470176","Fauteuil Scandi l Prix exclusivité Web","6.0000","0.0000","0.0000","6.0000","0.0000","000032778","2018-07-23 08:46:36"
"1470176","Fauteuil Scandi l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000032779","2018-07-23 08:52:49"
"1476098","SMOOZ-Arbre chat 3 niveaux bambou l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032780","2018-07-23 09:03:42"
"1470176","Fauteuil Scandi l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000032823","2018-07-23 20:30:47"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032835","2018-07-24 07:50:02"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032899","2018-07-25 11:33:06"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032917","2018-07-25 18:31:15"
"1464430","SMOOZ-Boite a croquette chat rouge 2,7l l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032918","2018-07-25 19:05:26"
